#SUBMITTED ID	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN
FBgn0033320	2R	8696245	8692796
FBgn0037191	3L	22789247	22788439
FBgn0262980	X	4213421	4213025
FBgn0265498	2R	13855894	13854659
FBgn0042137	3L	16370945	16369826
FBgn0262057	3L	20320116	20317190
FBgn0038397	3R	16067594	16060589
FBgn0260646	3L	16034853	16034524
FBgn0261992	2L	13460183	13459681
FBgn0263766	2L	9962104	9961018
FBgn0029955	X	7717932	7712783
FBgn0082923	3R	27924061	27923915
FBgn0003308	3R	13038020	13032528
FBgn0052568	X	16742918	16740906
FBgn0085397	2R	21946259	21872030
FBgn0035787	3L	7470302	7469502
FBgn0033736	2R	12427861	12426883
FBgn0264957	2R	5938994	5937400
FBgn0028583	X	21397316	21396727
FBgn0267789	3R	31569097	31568103
FBgn0250910	3R	12548229	12511570
FBgn0035785	3L	7458608	7456149
FBgn0030105	X	9217466	9216872
FBgn0030748	X	16417585	16415046
FBgn0036016	3L	9602548	9601523
FBgn0036471	3L	15061705	15061029
FBgn0267715	3L	19295198	19294727
FBgn0036703	3L	17244746	17243436
FBgn0266261	3R	12342373	12341674
FBgn0038887	3R	21406690	21403735
FBgn0265048	3R	15853581	15844466
FBgn0032670	2L	18157162	18156043
FBgn0261705	2R	23042943	23011078
FBgn0266705	3R	10877783	10876834
FBgn0030097	X	9190605	9189326
FBgn0029727	X	4786059	4784075
FBgn0029524	X	482768	481862
FBgn0263079	2L	18671246	18666892
FBgn0267989	2L	13175365	13174227
FBgn0003930	2L	21215178	21215036
FBgn0082993	2R	11588331	11588183
FBgn0265852	2R	20303595	20303195
FBgn0263412	3R	31133050	31132330
FBgn0264430	3R	13575479	13574825
FBgn0265928	3L	11251001	11248129
FBgn0262824	2R	19945877	19944263
FBgn0264711	3L	21666306	21644958
FBgn0024150	3L	21171930	21136447
FBgn0032365	2L	11521444	11519832
FBgn0031902	2L	7352542	7333714
FBgn0052712	X	8433809	8433087
FBgn0038481	3R	17130426	17129339
FBgn0051493	3R	7132695	7131560
FBgn0266399	3R	26007073	26006502
FBgn0034162	2R	16871851	16869402
FBgn0266383	3L	14326251	14322552
FBgn0259959	2L	5884774	5884350
FBgn0040859	X	12092272	12091264
FBgn0036978	3L	20366724	20361843
FBgn0031701	2L	5330464	5329857
FBgn0030317	X	11584175	11581957
FBgn0265538	2R	17187678	17187504
FBgn0051140	3R	23983232	23963180
FBgn0038959	3R	22405059	22402655
FBgn0035198	3L	1255986	1252012
FBgn0267056	X	21400837	21400011
FBgn0259817	211000022279188	2180	1449
FBgn0003388	3L	14622205	14614458
FBgn0038850	3R	21050975	21050014
FBgn0260487	3R	27372574	27340622
FBgn0264598	X	2387664	2367121
FBgn0052351	3L	8622091	8619888
FBgn0085232	2R	21281656	21281063
FBgn0029606	X	2224969	2223754
FBgn0260428	2L	4763951	4762895
FBgn0261804	2L	18275770	18159811
FBgn0036465	3L	15042570	15041631
FBgn0267153	3R	6763478	6761513
FBgn0037100	3L	21562181	21558974
FBgn0020399	3R	16268433	16267012
FBgn0265742	3L	11445104	11444472
FBgn0265607	2L	17173118	17131024
FBgn0266809	2R	12297805	12296495
FBgn0039816	3R	31097321	31090712
FBgn0267125	3R	31689878	31689128
FBgn0039611	3R	28877805	28875621
FBgn0030992	X	19187278	19183421
FBgn0039198	3R	24390339	24386104
FBgn0011281	3R	5975245	5972155
FBgn0267083	X	15973917	15973555
FBgn0267551	3R	15803495	15802854
FBgn0038092	3R	12934813	12916056
FBgn0034477	2R	19880920	19878836
FBgn0037895	3R	11418668	11416218
FBgn0266380	2R	18074489	18074172
FBgn0005779	2L	3110998	3109672
FBgn0013772	2R	14889010	14887171
FBgn0029705	X	4329457	4327080
FBgn0053178	X	15084017	15082827
FBgn0031426	2L	2415322	2410624
FBgn0040784	X	20110575	20110110
FBgn0001187	2R	15220329	15218837
FBgn0052450	3L	22330657	22329778
FBgn0265674	2L	11665810	11665241
FBgn0267755	3R	27504101	27503393
FBgn0030898	X	18179472	18178526
FBgn0031545	2L	3519651	3517273
FBgn0265579	2L	16982301	16981867
FBgn0087012	3R	4633304	4612870
FBgn0054043	2L	10280872	10278951
FBgn0264379	2R	15159545	15159196
FBgn0264464	3L	20302295	20299410
FBgn0266744	3R	24231364	24229898
FBgn0267753	3R	26543209	26541292
FBgn0085485	3L	9362734	9362108
FBgn0085472	2R	14369067	14367979
FBgn0033327	2R	8715094	8713446
FBgn0051820	2L	16006279	16005789
FBgn0033793	2R	13129052	13127915
FBgn0015773	X	14653928	14604012
FBgn0267148	3R	5053738	5053181
FBgn0264616	4	132874	132674
FBgn0051933	2L	1823331	1821256
FBgn0051014	3R	30505661	30503665
FBgn0031127	X	20669669	20661917
FBgn0262141	2R	22666145	22665646
FBgn0263321	2L	1443832	1442627
FBgn0003249	3R	20082450	20081060
FBgn0045469	3R	21845265	21844014
FBgn0267442	X	4986397	4985671
FBgn0039413	3R	26127868	26126659
FBgn0265996	2L	15160126	15159508
FBgn0028491	X	3880379	3868973
