#SUBMITTED ID	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN
FBgn0029994	X	8081605	8078350
FBgn0051156	3R	22613656	22608670
FBgn0004635	3L	1468944	1463811
FBgn0039209	3R	24582864	24557368
FBgn0083013	X	6743001	6742852
FBgn0010583	2L	833241	825969
FBgn0025583	2R	18387030	18386602
FBgn0032906	2L	20926147	20924975
FBgn0031041	X	19618537	19616663
FBgn0031321	2L	1185698	1184065
FBgn0039130	3R	23935964	23933912
FBgn0030674	X	15731935	15712628
FBgn0036254	3L	12136706	12133771
FBgn0044508	X	1482590	1482492
FBgn0033233	2R	7924988	7922775
FBgn0038427	3R	16441661	16436880
FBgn0061362	2R	20643785	20642466
FBgn0263232	3L	13973067	13965203
FBgn0036621	3L	16378566	16370938
FBgn0051044	3R	29219667	29214562
FBgn0032775	2L	19398493	19390370
FBgn0020503	2L	17409698	17384700
FBgn0031885	2L	7063586	7056301
FBgn0032160	2L	9920120	9918618
FBgn0033806	2R	13210469	13206745
FBgn0067864	3L	1802184	1798803
FBgn0051439	3R	25400645	25397788
FBgn0031420	2L	2380506	2375841
FBgn0036733	3L	17513912	17511855
FBgn0002732	3R	26011568	26010893
FBgn0051717	2L	10251714	10250737
FBgn0032127	2L	9547424	9545811
FBgn0001250	X	16783434	16752189
FBgn0031751	2L	5923653	5922876
FBgn0039207	3R	24543914	24536204
FBgn0038181	3R	13779317	13771495
FBgn0030608	X	15076220	15069127
FBgn0266438	2R	24415295	24411870
FBgn0037553	3R	8222188	8220146
FBgn0250868	2R	17573330	17572829
FBgn0266599	3R	15246614	15242687
FBgn0029944	X	7328806	7324214
FBgn0040005	2R	4673639	4671853
FBgn0052816	X	470726	316576
FBgn0040477	2R	13486631	13485617
FBgn0034803	2R	22939025	22937279
FBgn0028836	2R	8428577	8421033
FBgn0039328	3R	25331203	25329530
FBgn0032646	2L	17501106	17499268
FBgn0066084	2R	24903935	24903416
FBgn0033468	2R	9965067	9963835
FBgn0000053	2L	7023898	7014623
FBgn0030038	X	8441264	8437057
FBgn0032311	2L	10870722	10870167
FBgn0266179	X	19788156	19786730
FBgn0011642	4	1065001	1057365
FBgn0031554	2L	3621704	3621110
FBgn0267795	3L	14071583	14053215
FBgn0035704	3L	6495297	6491230
FBgn0000578	2R	19163705	19141632
FBgn0005632	3R	31790681	31777020
FBgn0051898	2L	8401592	8400421
FBgn0034860	2R	23419684	23412320
FBgn0022986	2R	22415518	22412556
FBgn0026400	3R	28599288	28598059
FBgn0034138	2R	16571230	16570112
FBgn0034945	2R	23970073	23968941
FBgn0033787	2R	12955712	12953112
FBgn0039733	3R	29999755	29997900
FBgn0033272	2R	8163500	8161679
FBgn0034989	2R	24202187	24197824
FBgn0028833	3R	26055438	26054237
FBgn0033556	2R	10823372	10822400
FBgn0050428	2R	25254535	25251927
FBgn0259683	2L	22214376	22189526
FBgn0003356	3R	29924615	29923754
FBgn0034488	2R	20245388	20242752
FBgn0260444	3R	12633188	12630647
FBgn0027610	3R	13369278	13364938
FBgn0266019	X	11837460	11816898
FBgn0038834	3R	20851427	20850516
FBgn0027550	2L	10764971	10761116
FBgn0023175	2R	9847836	9846636
FBgn0015929	2R	7500145	7496702
FBgn0037109	3L	21634446	21628325
FBgn0019686	2L	20064381	20061422
FBgn0031987	2L	8126890	8125668
FBgn0052251	3L	4318608	4313483
FBgn0034627	2R	21386221	21384552
FBgn0010039	3R	12373813	12373068
FBgn0032618	2L	16886319	16879517
FBgn0000351	2L	6676635	6674682
FBgn0037980	3R	12017031	12014943
FBgn0053217	3L	23132209	23126025
FBgn0038437	3R	16482452	16481861
FBgn0262733	3L	4626196	4592447
FBgn0026324	2L	2767845	2767286
FBgn0038389	3R	15964761	15963884
FBgn0038760	3R	20011712	20008947
FBgn0004404	X	7935792	7934898
FBgn0028671	3R	29137980	29131193
FBgn0015614	2R	7789053	7786010
FBgn0031968	2L	7986785	7983946
FBgn0037009	3L	20522434	20521009
FBgn0033309	2R	8599962	8596972
FBgn0283536	3R	19644386	19643018
FBgn0028717	3R	25893270	25888542
FBgn0029936	X	7104491	7102555
FBgn0032450	2L	12704451	12700949
FBgn0260012	2R	12033725	12027985
FBgn0035909	3L	8538013	8534977
FBgn0261016	2R	9599732	9587953
FBgn0020299	3R	14608079	14577217
FBgn0003507	3R	16004085	15986152
FBgn0034537	2R	20645865	20644036
FBgn0260745	3R	11993315	11984862
FBgn0030286	X	11334071	11325385
FBgn0037537	3R	8008110	8005924
FBgn0037472	3R	7126503	7124548
FBgn0266171	3R	21365290	21362968
FBgn0051054	3R	27961476	27960768
FBgn0035267	3L	1752390	1746907
FBgn0015602	2R	14772630	14770469
FBgn0029718	X	4648646	4647871
FBgn0029133	X	13214408	13212325
FBgn0260986	X	1481420	1477063
FBgn0030503	X	13619207	13616989
FBgn0040575	3R	20560280	20559708
FBgn0020270	2L	11284335	11282090
FBgn0003062	2R	23074725	23072909
FBgn0039359	3R	25685051	25683623
FBgn0042094	3R	10889588	10887345
FBgn0032135	2L	9623109	9616469
FBgn0032818	2L	19758615	19757245
FBgn0030447	X	13095732	13094299
FBgn0031939	2L	7732670	7727157
FBgn0083985	3R	22381253	22380128
FBgn0030855	X	17639003	17636281
FBgn0015268	2R	23907294	23905175
FBgn0010612	2L	10976399	10975522
FBgn0032001	2L	8214135	8212959
FBgn0033907	2R	14173596	14172986
FBgn0038080	3R	12705818	12705094
FBgn0052758	X	5738031	5719374
FBgn0085257	2R	11652339	11651857
FBgn0032208	2L	10292365	10281943
FBgn0265351	3R	8304023	8302686
FBgn0031454	2L	2759677	2758427
FBgn0032689	2L	18605249	18599755
FBgn0286204	3R	8963037	8950246
FBgn0003742	2R	14604337	14602004
FBgn0065073	2R	23073968	23073829
FBgn0002121	2L	21376	9839
FBgn0010217	4	1034917	1031484
FBgn0037042	3L	20992930	20991673
FBgn0264324	3R	28870439	28845270
FBgn0032940	2L	21310050	21286078
FBgn0033391	2R	9192096	9186670
FBgn0035812	3L	7726473	7719899
FBgn0050069	2R	14198368	14185204
FBgn0026577	2L	21232059	21221312
FBgn0033392	2R	9207124	9204410
FBgn0026427	2R	14618118	14607154
FBgn0063491	2R	18409835	18409048
FBgn0064117	X	21319296	21317936
FBgn0052412	3L	5902456	5900835
FBgn0035107	3L	202152	200174
FBgn0036317	3L	12850117	12844254
FBgn0003714	X	2443976	2442313
FBgn0037970	3R	11972896	11971694
FBgn0000927	X	2726577	2724286
FBgn0037648	3R	8995212	8993253
FBgn0262801	3R	6659442	6657882
FBgn0264492	3L	23103460	23097072
FBgn0031822	2L	6490843	6490155
FBgn0265902	X	17831094	17828096
FBgn0034543	2R	20673495	20670636
FBgn0259725	2R	21669916	21667541
FBgn0286931	2R	17565852	17564340
FBgn0259989	2L	11844063	11843137
FBgn0011706	3L	18398435	18397535
FBgn0029506	2R	7018362	7012254
FBgn0033315	2R	8627611	8626181
FBgn0264345	2L	6074796	6074251
FBgn0036825	3L	18900408	18898875
FBgn0051363	3R	11619906	11590386
FBgn0032863	2L	20461729	20459342
FBgn0042213	3R	29725690	29725027
FBgn0005617	2L	18688800	18683720
FBgn0030482	X	13401224	13396899
FBgn0030990	X	19179830	19176109
FBgn0259173	3L	7157073	7142991
FBgn0036212	3L	11822275	11820338
FBgn0037098	3L	21554928	21543850
FBgn0023530	X	1669297	1668406
FBgn0027514	3R	6380328	6377349
FBgn0267278	X	18481132	18480072
FBgn0003961	2L	7781415	7780085
FBgn0032445	2L	12693939	12692993
FBgn0033855	2R	13557342	13555949
FBgn0035207	3L	1318330	1313696
FBgn0260458	3L	5784685	5780051
FBgn0261679	3R	15350391	15348048
FBgn0266768	3L	14410698	14410117
FBgn0045073	X	15940451	15934495
FBgn0036135	3L	11122041	11120847
FBgn0030240	X	10852327	10848757
FBgn0262353	2L	12508504	12507939
FBgn0026313	X	17606879	17599608
FBgn0035111	3L	216479	212709
FBgn0034321	2R	18294712	18288696
FBgn0031263	2L	560523	559612
FBgn0031395	2L	2192386	2189914
FBgn0036556	3L	16004736	15992669
FBgn0010265	2L	8364662	8363477
FBgn0032633	2L	17384115	17367511
FBgn0038110	3R	13011310	13008384
FBgn0015765	3R	24152321	24150416
FBgn0039188	3R	24357938	24356070
FBgn0028399	3L	16415386	16412722
FBgn0037368	3R	5734702	5733513
FBgn0037879	3R	11226681	11225520
FBgn0259199	3L	2655455	2652088
FBgn0250907	2L	23025915	22999574
FBgn0083984	3R	21878686	21877870
FBgn0086362	3R	31256659	31255127
FBgn0260767	2R	22661389	22657901
FBgn0039466	3R	26977878	26966930
FBgn0263600	3L	15987815	15984322
FBgn0023514	X	1879077	1877317
FBgn0035542	3L	4420648	4406943
FBgn0027084	X	9608884	9606363
FBgn0033434	2R	9605624	9594045
