#SUBMITTED ID	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN
FBgn0028476	3R	29235302	29229161
FBgn0038577	3R	18188707	18187805
FBgn0031971	2L	7999676	7998869
FBgn0032906	2L	20926147	20924975
FBgn0034432	2R	19307445	19305172
FBgn0262527	3R	15802102	15793782
FBgn0032482	2L	13210828	13203762
FBgn0250906	2L	2753068	2746880
FBgn0039130	3R	23935964	23933912
FBgn0036254	3L	12136706	12133771
FBgn0033233	2R	7924988	7922775
FBgn0266449	2L	6073961	6070990
FBgn0032160	2L	9920120	9918618
FBgn0029763	X	5427219	5421533
FBgn0036522	3L	15624130	15619901
FBgn0027526	3R	23062751	23061493
FBgn0028980	3L	6057002	6055136
FBgn0036733	3L	17513912	17511855
FBgn0039831	3R	31231259	31220702
FBgn0266000	X	4938105	4926664
FBgn0032127	2L	9547424	9545811
FBgn0001142	2L	134472	132077
FBgn0030608	X	15076220	15069127
FBgn0030276	X	11164670	11154421
FBgn0024986	X	1380480	1378885
FBgn0004419	2L	10242172	10239341
FBgn0266599	3R	15246614	15242687
FBgn0250868	2R	17573330	17572829
FBgn0032196	2L	10226808	10224457
FBgn0264303	3L	7335226	7333544
FBgn0263977	3R	3745306	3734855
FBgn0028836	2R	8428577	8421033
FBgn0010786	3L	1339415	1334889
FBgn0040793	3L	17426282	17425477
FBgn0032646	2L	17501106	17499268
FBgn0066084	2R	24903935	24903416
FBgn0029893	X	6695007	6689296
FBgn0032408	2L	12096511	12095176
FBgn0285925	3R	16639771	16625238
FBgn0029176	3R	29222109	29220172
FBgn0000182	2L	16048757	16042047
FBgn0030038	X	8441264	8437057
FBgn0035520	3L	4262470	4261297
FBgn0261933	3L	12734611	12733364
FBgn0030556	X	14242822	14240266
FBgn0042085	2R	6642358	6636512
FBgn0027603	X	19208187	19202103
FBgn0039300	3R	25247514	25245955
FBgn0005632	3R	31790681	31777020
FBgn0050185	2R	23544901	23544024
FBgn0039405	3R	26058223	26057347
FBgn0024956	2R	10739829	10738617
FBgn0051301	3R	15348012	15346205
FBgn0014189	2L	5542314	5539326
FBgn0040070	2L	9616404	9613166
FBgn0034138	2R	16571230	16570112
FBgn0026400	3R	28599288	28598059
FBgn0026196	2L	6918743	6916753
FBgn0032295	2L	10740762	10737345
FBgn0037529	3R	7902667	7889277
FBgn0038476	3R	17084781	17080244
FBgn0024362	X	1344770	1342106
FBgn0039733	3R	29999755	29997900
FBgn0038922	3R	22019382	22016391
FBgn0002914	X	15857823	15854832
FBgn0003660	2R	10252417	10249435
FBgn0260233	3L	14757962	14747929
FBgn0031037	X	19611413	19605199
FBgn0034488	2R	20245388	20242752
FBgn0025633	X	620195	585081
FBgn0031030	X	19579800	19569721
FBgn0046114	3R	22686510	22685006
FBgn0000667	X	2042311	2023822
FBgn0000547	2L	4115749	4031377
FBgn0024188	2R	11361871	11360706
FBgn0034118	2R	16345828	16344377
FBgn0053181	X	8517029	8489348
FBgn0038834	3R	20851427	20850516
FBgn0266411	3R	30121798	30058311
FBgn0013432	X	2149647	2148463
FBgn0023175	2R	9847836	9846636
FBgn0010350	3L	8131675	8127762
FBgn0015929	2R	7500145	7496702
FBgn0030680	X	15746231	15741343
FBgn0019686	2L	20064381	20061422
FBgn0034708	2R	22189886	22185972
FBgn0052251	3L	4318608	4313483
FBgn0000351	2L	6676635	6674682
FBgn0032051	2L	8514868	8512174
FBgn0036004	3L	9486530	9477038
FBgn0000376	X	2738773	2734248
FBgn0034086	2R	16186506	16185122
FBgn0262733	3L	4626196	4592447
FBgn0027499	2R	10808938	10800420
FBgn0027588	X	21605264	21600502
FBgn0037138	3L	21841356	21836665
FBgn0027783	2R	14852653	14848621
FBgn0045823	3L	9717716	9714324
FBgn0004404	X	7935792	7934898
FBgn0016726	2R	21294404	21293768
FBgn0015614	2R	7789053	7786010
FBgn0037235	3R	4339914	4337755
FBgn0001280	3R	30039533	30038622
FBgn0015320	2L	10768006	10765010
FBgn0027537	X	13825910	13822826
FBgn0283536	3R	19644386	19643018
FBgn0035675	3L	6076258	6075536
FBgn0260012	2R	12033725	12027985
FBgn0261016	2R	9599732	9587953
FBgn0036932	3L	20029020	20027819
FBgn0086856	2L	274766	273836
FBgn0034537	2R	20645865	20644036
FBgn0026259	3L	3460977	3428658
FBgn0052644	X	12970056	12967888
FBgn0026316	2R	17789410	17788412
FBgn0261790	2L	7885450	7884930
FBgn0013765	2R	13450475	13439314
FBgn0022023	2L	5053094	5051193
FBgn0015602	2R	14772630	14770469
FBgn0032292	2L	10732423	10731400
FBgn0029133	X	13214408	13212325
FBgn0260986	X	1481420	1477063
FBgn0031126	X	20661425	20657122
FBgn0029715	X	4554398	4553117
FBgn0034753	2R	22646344	22644646
FBgn0263102	2R	10617280	10557888
FBgn0036053	3L	9864349	9860217
FBgn0260795	3L	11134663	11123348
FBgn0039359	3R	25685051	25683623
FBgn0020238	3R	18250550	18242531
FBgn0037632	3R	8806234	8801564
FBgn0020224	3L	8432246	8424954
FBgn0024734	2L	16257606	16245835
FBgn0040602	3R	25851291	25850410
FBgn0003701	2R	17865963	17861273
FBgn0031356	2L	1710421	1707132
FBgn0030788	X	16789644	16787283
FBgn0003612	2R	9122000	9116122
FBgn0000463	3R	19326217	19302731
FBgn0024285	2L	9915044	9912911
FBgn0050290	2R	21692764	21691295
FBgn0030855	X	17639003	17636281
FBgn0022069	2L	13366189	13363308
FBgn0015268	2R	23907294	23905175
FBgn0029113	3L	8127818	8125327
FBgn0031090	X	20159872	20155766
FBgn0010612	2L	10976399	10975522
FBgn0033907	2R	14173596	14172986
FBgn0032208	2L	10292365	10281943
FBgn0086558	X	6279647	6276876
FBgn0015522	2R	17848444	17846699
FBgn0029512	3R	12433822	12432533
FBgn0003076	3L	16128531	16126018
FBgn0010217	4	1034917	1031484
FBgn0001233	3L	3197059	3192969
FBgn0033391	2R	9192096	9186670
FBgn0033846	2R	13513112	13506430
FBgn0000412	3R	9240654	9238083
FBgn0026577	2L	21232059	21221312
FBgn0035251	3L	1652900	1651432
FBgn0053094	3R	20840118	20832799
FBgn0015396	3R	10361612	10350182
FBgn0033918	2R	14258787	14256493
FBgn0030366	X	12029032	12022837
FBgn0264743	2L	5048365	5043270
FBgn0034000	2R	15217070	15216207
FBgn0035402	3L	3148358	3145405
FBgn0052412	3L	5902456	5900835
FBgn0052672	X	10768338	10764878
FBgn0003714	X	2443976	2442313
FBgn0000927	X	2726577	2724286
FBgn0014906	2L	3169462	3163645
FBgn0264492	3L	23103460	23097072
FBgn0031677	2L	5055016	5054579
FBgn0025394	X	1517615	1483479
FBgn0028688	3R	22462054	22460662
FBgn0002031	2L	19123869	19121345
FBgn0035630	3L	5765702	5761963
FBgn0052625	X	13756826	13756164
FBgn0250848	3L	13996571	13994231
FBgn0028737	2R	16869280	16868222
FBgn0037834	3R	10788226	10786481
FBgn0033155	2R	7278101	7272275
FBgn0286931	2R	17565852	17564340
FBgn0032198	2L	10234450	10232507
FBgn0039492	3R	27151069	27124759
FBgn0029801	X	5759751	5755574
FBgn0029506	2R	7018362	7012254
FBgn0036515	3L	15585347	15583638
FBgn0286784	2R	9993559	9989159
FBgn0036825	3L	18900408	18898875
FBgn0051363	3R	11619906	11590386
FBgn0003475	2L	20348386	20311219
FBgn0263598	2L	12978607	12974322
FBgn0000996	2R	15380988	15376619
FBgn0005617	2L	18688800	18683720
FBgn0033988	2R	14991336	14981263
FBgn0034390	2R	18776978	18775669
FBgn0026144	X	7342731	7337352
FBgn0035715	3L	6756497	6754017
FBgn0031478	2L	2877168	2874890
FBgn0036900	3L	19687353	19683941
FBgn0040777	2R	8723839	8718017
FBgn0010315	X	15909676	15906822
FBgn0045073	X	15940451	15934495
FBgn0037671	3R	9262590	9260638
FBgn0039924	4	1196848	1192419
FBgn0250843	2L	10222546	10221351
FBgn0030679	X	15740417	15739230
FBgn0031263	2L	560523	559612
FBgn0031395	2L	2192386	2189914
FBgn0263740	3R	15263458	15257844
FBgn0034918	2R	23856936	23855954
FBgn0030003	X	8131783	8129812
FBgn0010265	2L	8364662	8363477
FBgn0026418	3L	14043686	14037019
FBgn0035878	3L	8346382	8344421
FBgn0036484	3L	15146379	15144355
FBgn0036690	3L	17032080	17029812
FBgn0038601	3R	18301728	18300195
FBgn0034451	2R	19486837	19485494
FBgn0086687	3R	12447616	12439600
FBgn0024733	3L	23095471	23093190
FBgn0037368	3R	5734702	5733513
FBgn0262515	2R	9209774	9207561
FBgn0023477	2R	23942114	23940410
FBgn0284228	X	15991974	15987166
FBgn0086362	3R	31256659	31255127
FBgn0032789	2L	19488691	19487490
FBgn0023514	X	1879077	1877317
FBgn0020279	2R	8078815	8067977
FBgn0035771	3L	7364366	7360561
FBgn0263396	3R	13646304	13634862
FBgn0002183	3L	1876312	1871574
FBgn0038196	3R	14036398	14035018
FBgn0000117	X	1900646	1891401
FBgn0004049	3R	13434984	13428867
FBgn0027084	X	9608884	9606363
FBgn0010348	3L	22872231	22868380
FBgn0050440	2R	5495861	5468319
FBgn0033476	2R	10048619	10034595
FBgn0032421	2L	12174091	12172981
FBgn0036124	3L	11078736	11074769
FBgn0031483	2L	2976862	2974859
FBgn0010097	2L	19185726	19183863
FBgn0037607	3R	8673702	8667868
FBgn0036735	3L	17529861	17525333
FBgn0002044	2L	19497978	19493251
FBgn0263773	2L	20085070	20079270
FBgn0011692	3L	4246233	4242734
FBgn0011760	X	4702034	4687800
FBgn0003462	3L	11113740	11112281
FBgn0035438	3L	3328626	3326265
FBgn0036043	3L	9786466	9763544
FBgn0035987	3L	9413835	9411038
FBgn0037446	3R	6458822	6457088
FBgn0267976	2L	23313578	23312465
FBgn0003514	X	6225140	6223061
FBgn0028694	2L	5059790	5058404
FBgn0028992	3R	17393020	17391594
FBgn0030268	X	11137118	11129362
FBgn0039869	3R	31744248	31743490
FBgn0265191	2R	21210821	21200483
FBgn0011604	2R	12640628	12636671
FBgn0028982	X	6274984	6267797
FBgn0039186	3R	24348791	24343895
FBgn0003607	2L	8211122	8209626
FBgn0002736	2R	21129737	21128577
FBgn0034021	2R	15482834	15472175
FBgn0004875	3L	3842326	3818679
FBgn0030711	X	15946249	15944897
FBgn0030873	X	17850342	17848110
FBgn0031851	2L	6719389	6717625
FBgn0015371	2R	15144783	15115236
FBgn0053129	2L	10970275	10964905
FBgn0261596	2R	22641419	22640526
FBgn0262656	X	3391697	3373159
FBgn0036994	3L	20452864	20450532
FBgn0025463	X	13159508	13157445
FBgn0000307	2L	16352628	16342430
FBgn0030086	X	9092826	9089513
FBgn0085193	2L	12058251	12056348
FBgn0053303	2L	10375757	10373369
FBgn0283657	X	3789770	3720007
FBgn0284245	2R	11895762	11891135
FBgn0016701	2R	17574979	17573462
FBgn0022097	2R	15542498	15541435
FBgn0040928	X	8398298	8397157
FBgn0034853	2R	23371459	23366866
FBgn0040064	2L	9917220	9915253
FBgn0033313	2R	8625203	8614722
FBgn0036483	3L	15136934	15131508
FBgn0025608	2L	18708688	18706010
FBgn0032635	2L	17413499	17410641
FBgn0027500	3L	16595014	16591207
FBgn0040339	X	928860	928139
FBgn0031043	X	19623074	19621451
FBgn0034808	2R	22998884	22993669
FBgn0015623	2L	6346280	6338836
FBgn0027552	3L	3942465	3941008
FBgn0038575	3R	18185715	18183656
FBgn0025814	X	21044107	21042125
FBgn0051092	3R	25740465	25698727
FBgn0039907	4	443911	436957
FBgn0267378	2L	2231099	2226342
FBgn0086706	3L	8974765	8972056
FBgn0261789	3R	6345911	6345000
FBgn0004584	2L	2972508	2969773
FBgn0261986	3R	25665640	25661795
FBgn0285913	3R	14302276	14289071
FBgn0283450	2R	7395932	7393546
FBgn0022893	2L	21629932	21626309
FBgn0031051	X	19652269	19646306
FBgn0031771	2L	6062757	6060842
FBgn0000318	2L	5521382	5520135
FBgn0015776	2L	6786861	6778555
FBgn0027785	3R	19028015	19027368
FBgn0034282	2R	17872015	17866178
FBgn0027599	2R	24948378	24946561
FBgn0051195	3R	20762369	20757269
FBgn0052267	3L	3472113	3471555
FBgn0262518	3L	19871078	19867488
FBgn0005674	3R	23958391	23952136
FBgn0032725	2L	18951837	18951006
FBgn0000559	2L	21682164	21677913
FBgn0031436	2L	2580172	2579201
FBgn0026238	2R	5128321	5116990
FBgn0266186	2R	9842502	9841080
FBgn0003656	X	7968236	7956820
FBgn0033716	2R	12339544	12337797
FBgn0260985	3L	4136038	4134860
FBgn0001565	X	21387946	21385518
FBgn0015754	2R	16185103	16178826
FBgn0261119	2R	18451041	18447361
FBgn0261397	2R	7508625	7500147
FBgn0036449	3L	14786412	14776496
FBgn0052528	X	19748458	19746041
FBgn0266720	3R	9763150	9761305
FBgn0030434	X	12909622	12907986
FBgn0287182	3L	28012599	27967244
FBgn0015221	3R	30390584	30387804
FBgn0036668	3L	16852350	16845386
FBgn0034345	2R	18426221	18421413
FBgn0002873	X	14258595	14247732
FBgn0027590	2R	24768172	24766718
FBgn0030603	X	15051842	15044123
FBgn0011754	X	11704394	11695137
