#SUBMITTED ID	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN
FBgn0051156	3R	22613656	22608670
FBgn0039209	3R	24582864	24557368
FBgn0010583	2L	833241	825969
FBgn0032906	2L	20926147	20924975
FBgn0031041	X	19618537	19616663
FBgn0039130	3R	23935964	23933912
FBgn0036254	3L	12136706	12133771
FBgn0030674	X	15731935	15712628
FBgn0033233	2R	7924988	7922775
FBgn0038427	3R	16441661	16436880
FBgn0061362	2R	20643785	20642466
FBgn0263232	3L	13973067	13965203
FBgn0036621	3L	16378566	16370938
FBgn0031885	2L	7063586	7056301
FBgn0020503	2L	17409698	17384700
FBgn0032160	2L	9920120	9918618
FBgn0033806	2R	13210469	13206745
FBgn0067864	3L	1802184	1798803
FBgn0031420	2L	2380506	2375841
FBgn0036733	3L	17513912	17511855
FBgn0051717	2L	10251714	10250737
FBgn0032127	2L	9547424	9545811
FBgn0039207	3R	24543914	24536204
FBgn0030608	X	15076220	15069127
FBgn0266438	2R	24415295	24411870
FBgn0266599	3R	15246614	15242687
FBgn0250868	2R	17573330	17572829
FBgn0040005	2R	4673639	4671853
FBgn0029944	X	7328806	7324214
FBgn0040477	2R	13486631	13485617
FBgn0034803	2R	22939025	22937279
FBgn0028836	2R	8428577	8421033
FBgn0032646	2L	17501106	17499268
FBgn0066084	2R	24903935	24903416
FBgn0033468	2R	9965067	9963835
FBgn0030038	X	8441264	8437057
FBgn0267795	3L	14071583	14053215
FBgn0035704	3L	6495297	6491230
FBgn0000578	2R	19163705	19141632
FBgn0005632	3R	31790681	31777020
FBgn0022986	2R	22415518	22412556
FBgn0034138	2R	16571230	16570112
FBgn0026400	3R	28599288	28598059
FBgn0034945	2R	23970073	23968941
FBgn0039733	3R	29999755	29997900
FBgn0033272	2R	8163500	8161679
FBgn0034989	2R	24202187	24197824
FBgn0050428	2R	25254535	25251927
FBgn0033556	2R	10823372	10822400
FBgn0028833	3R	26055438	26054237
FBgn0260444	3R	12633188	12630647
FBgn0034488	2R	20245388	20242752
FBgn0027610	3R	13369278	13364938
FBgn0266019	X	11837460	11816898
FBgn0038834	3R	20851427	20850516
FBgn0023175	2R	9847836	9846636
FBgn0015929	2R	7500145	7496702
FBgn0037109	3L	21634446	21628325
FBgn0019686	2L	20064381	20061422
FBgn0052251	3L	4318608	4313483
FBgn0031987	2L	8126890	8125668
FBgn0010039	3R	12373813	12373068
FBgn0037980	3R	12017031	12014943
FBgn0000351	2L	6676635	6674682
FBgn0053217	3L	23132209	23126025
FBgn0038437	3R	16482452	16481861
