#SUBMITTED ID	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN
FBgn0041604	3L	14671609	14632601
FBgn0038108	3R	13008404	12998089
FBgn0038577	3R	18188707	18187805
FBgn0085224	2R	17734483	17733238
FBgn0002909	3L	7333471	7329132
FBgn0010583	2L	833241	825969
FBgn0031971	2L	7999676	7998869
FBgn0032906	2L	20926147	20924975
FBgn0034432	2R	19307445	19305172
FBgn0031041	X	19618537	19616663
FBgn0262527	3R	15802102	15793782
FBgn0033683	2R	12139324	12138695
FBgn0039130	3R	23935964	23933912
FBgn0036254	3L	12136706	12133771
FBgn0033233	2R	7924988	7922775
FBgn0263232	3L	13973067	13965203
FBgn0036621	3L	16378566	16370938
FBgn0266449	2L	6073961	6070990
FBgn0031885	2L	7063586	7056301
FBgn0032160	2L	9920120	9918618
FBgn0033806	2R	13210469	13206745
FBgn0034401	2R	18850599	18846858
FBgn0034406	2R	18862078	18860375
FBgn0028980	3L	6057002	6055136
FBgn0036733	3L	17513912	17511855
FBgn0039831	3R	31231259	31220702
FBgn0010441	3R	27253182	27251131
FBgn0266000	X	4938105	4926664
FBgn0032127	2L	9547424	9545811
FBgn0036514	3L	15583373	15580800
FBgn0039207	3R	24543914	24536204
FBgn0030305	X	11485060	11483518
FBgn0001142	2L	134472	132077
FBgn0030608	X	15076220	15069127
FBgn0003169	3R	14625703	14619030
FBgn0004419	2L	10242172	10239341
FBgn0263351	3R	22464603	22462455
FBgn0250868	2R	17573330	17572829
FBgn0266599	3R	15246614	15242687
FBgn0029944	X	7328806	7324214
FBgn0040005	2R	4673639	4671853
FBgn0032196	2L	10226808	10224457
FBgn0040477	2R	13486631	13485617
FBgn0029665	X	3485378	3484605
FBgn0031390	2L	2145187	2137350
FBgn0028836	2R	8428577	8421033
FBgn0263977	3R	3745306	3734855
FBgn0032646	2L	17501106	17499268
FBgn0066084	2R	24903935	24903416
FBgn0285925	3R	16639771	16625238
FBgn0030081	X	9081057	9078823
FBgn0033468	2R	9965067	9963835
FBgn0260970	X	7953883	7935896
FBgn0017457	2L	294681	292959
FBgn0029176	3R	29222109	29220172
FBgn0030658	X	15579857	15578205
FBgn0030038	X	8441264	8437057
FBgn0035520	3L	4262470	4261297
FBgn0261933	3L	12734611	12733364
FBgn0267795	3L	14071583	14053215
FBgn0042085	2R	6642358	6636512
FBgn0000578	2R	19163705	19141632
FBgn0005632	3R	31790681	31777020
FBgn0050185	2R	23544901	23544024
FBgn0039405	3R	26058223	26057347
FBgn0024956	2R	10739829	10738617
FBgn0022986	2R	22415518	22412556
FBgn0034982	2R	24138050	24135180
FBgn0051301	3R	15348012	15346205
FBgn0040070	2L	9616404	9613166
FBgn0026400	3R	28599288	28598059
FBgn0034138	2R	16571230	16570112
FBgn0032295	2L	10740762	10737345
FBgn0030060	X	8714924	8712472
FBgn0034945	2R	23970073	23968941
FBgn0037653	3R	9008030	9006456
FBgn0024362	X	1344770	1342106
FBgn0032704	2L	18705703	18704570
FBgn0039733	3R	29999755	29997900
FBgn0033272	2R	8163500	8161679
FBgn0034989	2R	24202187	24197824
FBgn0002914	X	15857823	15854832
FBgn0028833	3R	26055438	26054237
FBgn0033556	2R	10823372	10822400
FBgn0034488	2R	20245388	20242752
FBgn0046114	3R	22686510	22685006
FBgn0000667	X	2042311	2023822
FBgn0266019	X	11837460	11816898
FBgn0034118	2R	16345828	16344377
FBgn0038834	3R	20851427	20850516
FBgn0023175	2R	9847836	9846636
FBgn0010350	3L	8131675	8127762
FBgn0015929	2R	7500145	7496702
FBgn0037109	3L	21634446	21628325
FBgn0019686	2L	20064381	20061422
FBgn0032988	2L	22258260	22249876
FBgn0052251	3L	4318608	4313483
FBgn0000351	2L	6676635	6674682
FBgn0029823	X	5916797	5913067
FBgn0029840	X	6090201	6082634
FBgn0262733	3L	4626196	4592447
FBgn0003502	2L	8301079	8258373
FBgn0027588	X	21605264	21600502
FBgn0037138	3L	21841356	21836665
FBgn0026324	2L	2767845	2767286
FBgn0027783	2R	14852653	14848621
FBgn0038389	3R	15964761	15963884
FBgn0045823	3L	9717716	9714324
FBgn0004404	X	7935792	7934898
FBgn0016726	2R	21294404	21293768
FBgn0015614	2R	7789053	7786010
FBgn0037235	3R	4339914	4337755
FBgn0033309	2R	8599962	8596972
